result,unit,run,,,,,
79.737,15,Run 1,,,,,
79.036,15,Run 2,,,,,
80.196,15,Run 3,,,,,
80.177,127,Run 1,,,,,
78.367,127,Run 2,,,,,
80.005,127,Run 3,,,,,
79.95,199,Run 1,,,,,
78.555,199,Run 2,,,,,
80.04,199,Run 3,,,,,
78.97,248,Run 1,,,,,
79.07,248,Run 2,,,,,
79.299,248,Run 3,,,,,
79.164,309,Run 1,,,,,
78.865,309,Run 2,,,,,
79.567,309,Run 3,,,,,
79.315,375,Run 1,,,,,
77.81,375,Run 2,,,,,
80.25,375,Run 3,,,,,
79.72,439,Run 1,,,,,
79.142,439,Run 2,,,,,
80.424,439,Run 3,,,,,
80.102,482,Run 1,,,,,
78.217,482,Run 2,,,,,
80.342,482,Run 3,,,,,
80.457,571,Run 1,,,,,
78.569,571,Run 2,,,,,
80.022,571,Run 3,,,,,
80.105,662,Run 1,,,,,
78.28,662,Run 2,,,,,
80.77,662,Run 3,,,,,
80.55,689,Run 1,,,,,
79.333,689,Run 2,,,,,
80.53,689,Run 3,,,,,
79.215,775,Run 1,,,,,
78.442,775,Run 2,,,,,
77.919,775,Run 3,,,,,
79.96,841,Run 1,,,,,
78.947,841,Run 2,,,,,
80.313,841,Run 3,,,,,
79.637,911,Run 1,,,,,
79.574,911,Run 2,,,,,
80.107,911,Run 3,,,,,
79.71,973,Run 1,,,,,
78.614,973,Run 2,,,,,
80.385,973,Run 3,,,,,
